WV2.PANEL0,
Signal,
File,Signal,Hierarchy,Value,Unit,
D0:inversor2.tr0,v(0),,,V,
D0:inversor2.tr0,v(a),,,V,
D0:inversor2.tr0,v(b),,,V,
D0:inversor2.tr0,v(vdd),,,V,
D0:inversor2.tr0,i(v1),,,A,
D0:inversor2.tr0,i(v2),,,A,
,
Signal->v(0),
X-axis,Value,
0,0,
495.8p,1.704,
501.9p,1.731,
508.6p,1.752,
516p,1.768,
524p,1.78,
533.1p,1.788,
543p,1.793,
554.3p,1.796,
567.2p,1.798,
582.2p,1.799,
600.2p,1.8,
623.5p,1.8,
655.2p,1.8,
695.2p,1.8,
735.2p,1.8,
775.2p,1.8,
800p,1.8,
,
Signal->v(vdd),
X-axis,Value,
0,1.8,
1p,1.8,
2p,1.8,
3.306p,1.8,
6.915p,1.8,
8.003p,1.8,
8.874p,1.8,
11.66p,1.8,
12.88p,1.8,
14.11p,1.8,
15.03p,1.8,
15.71p,1.8,
17.62p,1.8,
18.81p,1.8,
20p,1.8,
20.06p,1.8,
20.18p,1.8,
20.58p,1.8,
21.28p,1.8,
23.5p,1.8,
27.71p,1.8,
31.16p,1.8,
31.99p,1.8,
32.65p,1.8,
34.77p,1.8,
35.69p,1.8,
36.6p,1.8,
37.88p,1.8,
38.9p,1.8,
42.17p,1.8,
43.57p,1.8,
44.97p,1.8,
47.47p,1.8,
50.53p,1.8,
53.78p,1.8,
57.48p,1.8,
61.76p,1.8,
66.92p,1.8,
73.14p,1.8,
81.23p,1.8,
91.82p,1.8,
108.1p,1.8,
133.7p,1.8,
173.7p,1.8,
213.7p,1.8,
253.7p,1.8,
293.7p,1.8,
333.7p,1.8,
373.7p,1.8,
413.7p,1.8,
420p,1.8,
420.1p,1.8,
420.3p,1.8,
420.9p,1.8,
422.1p,1.8,
424.9p,1.8,
427.6p,1.8,
430.9p,1.8,
432.5p,1.8,
433.8p,1.8,
434.8p,1.8,
435.5p,1.8,
437.8p,1.8,
438.9p,1.8,
440p,1.8,
440.1p,1.8,
440.2p,1.8,
440.6p,1.8,
441.2p,1.8,
443.3p,1.8,
448.5p,1.8,
456.1p,1.8,
461.8p,1.8,
464.2p,1.8,
466.6p,1.8,
468.5p,1.8,
470.5p,1.8,
472.4p,1.8,
474.3p,1.8,
477p,1.8,
481.2p,1.8,
485.5p,1.8,
490.2p,1.8,
495.8p,1.8,
501.9p,1.8,
508.6p,1.8,
516p,1.8,
524p,1.8,
533.1p,1.8,
543p,1.8,
554.3p,1.8,
567.2p,1.8,
582.2p,1.8,
600.2p,1.8,
623.5p,1.8,
655.2p,1.8,
695.2p,1.8,
735.2p,1.8,
775.2p,1.8,
800p,1.8,
,
Signal->i(v1),
X-axis,Value,
0,-4.324E-18,
1p,72.25u,
2p,73.23u,
3.306p,73.87u,
6.915p,72.31u,
8.003p,66.89u,
8.874p,62.24u,
11.66p,40.55u,
12.88p,30.57u,
14.11p,20.34u,
15.03p,10.77u,
15.71p,4.274u,
17.62p,-10.94u,
18.81p,-17.62u,
20p,-22.19u,
20.06p,-71.08u,
20.18p,-71.16u,
20.58p,-70.76u,
21.28p,-70.28u,
23.5p,-68.54u,
27.71p,-64.53u,
31.16p,-58.81u,
31.99p,-55.99u,
32.65p,-53.63u,
34.77p,-43.08u,
35.69p,-38.24u,
36.6p,-33.22u,
37.88p,-27.63u,
38.9p,-23.27u,
42.17p,-13.39u,
43.57p,-10.35u,
44.97p,-8.027u,
47.47p,-4.988u,
50.53p,-2.75u,
53.78p,-1.447u,
57.48p,-686.2n,
61.76p,-290.1n,
66.92p,-100.5n,
73.14p,-30.48n,
81.23p,-5.476n,
91.82p,-497.7p,
108.1p,103.4p,
133.7p,-53.22p,
173.7p,29.76p,
213.7p,-23.04p,
253.7p,12.11p,
293.7p,-11.2p,
333.7p,4.289p,
373.7p,-6.013p,
413.7p,844.8f,
420p,-3.716p,
420.1p,-45.38u,
420.3p,-45.16u,
420.9p,-43.88u,
422.1p,-42.28u,
424.9p,-40.87u,
427.6p,-52.19u,
430.9p,-75.31u,
432.5p,-79.31u,
433.8p,-88.63u,
434.8p,-90.82u,
435.5p,-94.96u,
437.8p,-104.5u,
438.9p,-110.4u,
440p,-117.2u,
440.1p,-46.36u,
440.2p,-44.1u,
440.6p,-45.16u,
441.2p,-44.14u,
443.3p,-43.82u,
448.5p,-41.32u,
456.1p,-38.14u,
461.8p,-33.21u,
464.2p,-30.41u,
466.6p,-27.16u,
468.5p,-24.3u,
470.5p,-21.23u,
472.4p,-18.83u,
474.3p,-16.77u,
477p,-14.37u,
481.2p,-11.41u,
485.5p,-9.078u,
490.2p,-7.05u,
495.8p,-5.234u,
501.9p,-3.772u,
508.6p,-2.63u,
516p,-1.761u,
524p,-1.134u,
533.1p,-692.1n,
543p,-401.3n,
554.3p,-216.2n,
567.2p,-106.5n,
582.2p,-46.55n,
600.2p,-17.13n,
623.5p,-5.809n,
655.2p,-1.132n,
695.2p,-290.1p,
735.2p,123p,
775.2p,-201.5p,
800p,131.3p,
,
Signal->i(v2),
X-axis,Value,
0,0,
1p,-92.34u,
2p,-92.79u,
3.306p,-92.92u,
6.915p,-95.74u,
8.003p,-99.51u,
8.874p,-99.75u,
11.66p,-104u,
12.88p,-104.7u,
14.11p,-104.6u,
15.03p,-100.5u,
15.71p,-97.18u,
17.62p,-92.39u,
18.81p,-93.54u,
20p,-97.83u,
20.06p,-22.18u,
20.18p,-21.26u,
20.58p,-21.64u,
21.28p,-21.03u,
23.5p,-20.52u,
27.71p,-19.3u,
31.16p,-18.22u,
31.99p,-17.76u,
32.65p,-17.4u,
34.77p,-15.59u,
35.69p,-14.54u,
36.6p,-13.33u,
37.88p,-11.29u,
38.9p,-9.857u,
42.17p,-5.859u,
43.57p,-4.589u,
44.97p,-3.584u,
47.47p,-2.233u,
50.53p,-1.246u,
53.78p,-652.4n,
57.48p,-313.2n,
61.76p,-130.5n,
66.92p,-46.52n,
73.14p,-13.29n,
81.23p,-2.861n,
91.82p,23.66p,
108.1p,-117.2p,
133.7p,86.66p,
173.7p,-59.56p,
213.7p,39.63p,
253.7p,-26.46p,
293.7p,17.65p,
333.7p,-11.78p,
373.7p,7.853p,
413.7p,-5.236p,
420p,3.492p,
420.1p,71.49u,
420.3p,72.11u,
420.9p,72.27u,
422.1p,72.94u,
424.9p,74.25u,
427.6p,85.58u,
430.9p,101u,
432.5p,97.15u,
433.8p,99.48u,
434.8p,97.04u,
435.5p,98.08u,
437.8p,99.37u,
438.9p,102.1u,
440p,106.1u,
440.1p,14.66u,
440.2p,12.18u,
440.6p,13.6u,
441.2p,12.78u,
443.3p,13.41u,
448.5p,12.91u,
456.1p,12.61u,
461.8p,11.25u,
464.2p,10.55u,
466.6p,9.756u,
468.5p,9.166u,
470.5p,8.595u,
472.4p,8.059u,
474.3p,7.55u,
477p,6.716u,
481.2p,5.599u,
485.5p,4.552u,
490.2p,3.616u,
495.8p,2.713u,
501.9p,1.98u,
508.6p,1.387u,
516p,935.5n,
524p,602.8n,
533.1p,369.8n,
543p,214n,
554.3p,115.9n,
567.2p,56.79n,
582.2p,25.02n,
600.2p,9.091n,
623.5p,3.158n,
655.2p,571.2p,
695.2p,192.4p,
735.2p,-93p,
775.2p,124.4p,
800p,-83.53p,
,
